flashItemId,eventId,productId,limitedQty,soldQty,flashPrice,version
FSI-00109,EVT-006,PRD-01104,25,0,1523000.0,1
FSI-00110,EVT-017,PRD-02116,35,0,2143000.0,1
FSI-00111,EVT-019,PRD-01225,22,0,2364000.0,1
FSI-00112,EVT-020,PRD-02686,96,0,1518000.0,1
FSI-00113,EVT-003,PRD-01218,62,0,1062000.0,1
FSI-00114,EVT-001,PRD-02582,89,0,102000.0,1
FSI-00115,EVT-008,PRD-04215,92,0,656000.0,1
FSI-00116,EVT-007,PRD-03037,87,0,1007000.0,1
FSI-00117,EVT-001,PRD-02006,78,0,1216000.0,1
FSI-00118,EVT-013,PRD-01767,84,0,2561000.0,1
FSI-00119,EVT-005,PRD-02700,14,0,1411000.0,1
FSI-00120,EVT-003,PRD-00716,16,0,1736000.0,1
FSI-00121,EVT-007,PRD-01645,93,0,2012000.0,1
FSI-00122,EVT-002,PRD-00992,91,0,1024000.0,1
FSI-00123,EVT-013,PRD-04027,50,0,445000.0,1
FSI-00124,EVT-010,PRD-03311,37,0,1660000.0,1
FSI-00125,EVT-010,PRD-02839,50,0,736000.0,1
FSI-00126,EVT-011,PRD-04730,6,0,1285000.0,1
FSI-00127,EVT-003,PRD-00128,15,0,1002000.0,1
FSI-00128,EVT-010,PRD-03633,28,0,356000.0,1
FSI-00129,EVT-020,PRD-02208,73,0,2031000.0,1
FSI-00130,EVT-019,PRD-00138,61,0,2326000.0,1
FSI-00131,EVT-006,PRD-03431,68,0,1534000.0,1
FSI-00132,EVT-013,PRD-04695,53,0,1646000.0,1
FSI-00133,EVT-007,PRD-00478,32,0,3124000.0,1
FSI-00134,EVT-019,PRD-02419,50,0,2666000.0,1
FSI-00135,EVT-012,PRD-04929,92,0,819000.0,1
FSI-00136,EVT-006,PRD-01700,54,0,324000.0,1
FSI-00137,EVT-011,PRD-00857,86,0,2139000.0,1
FSI-00138,EVT-018,PRD-02861,69,0,367000.0,1
FSI-00139,EVT-001,PRD-04618,38,0,499000.0,1
FSI-00140,EVT-020,PRD-02352,60,0,1259000.0,1
FSI-00141,EVT-004,PRD-00334,22,0,1968000.0,1
FSI-00142,EVT-006,PRD-00323,59,0,192000.0,1
FSI-00143,EVT-016,PRD-01898,41,0,1044000.0,1
FSI-00144,EVT-017,PRD-00586,8,0,2057000.0,1
FSI-00145,EVT-011,PRD-04777,58,0,1241000.0,1
FSI-00146,EVT-004,PRD-04250,99,0,1253000.0,1
FSI-00147,EVT-019,PRD-04846,28,0,140000.0,1
FSI-00148,EVT-011,PRD-00502,44,0,2125000.0,1
FSI-00149,EVT-020,PRD-00438,50,0,1998000.0,1
FSI-00150,EVT-011,PRD-01965,14,0,1323000.0,1
FSI-00151,EVT-013,PRD-00083,27,0,1444000.0,1
FSI-00152,EVT-015,PRD-02320,25,0,2611000.0,1
FSI-00153,EVT-016,PRD-00820,44,0,1296000.0,1
FSI-00154,EVT-010,PRD-00645,82,0,1035000.0,1
FSI-00155,EVT-020,PRD-02406,29,0,1132000.0,1
FSI-00156,EVT-019,PRD-00999,46,0,684000.0,1
FSI-00157,EVT-004,PRD-02302,54,0,2513000.0,1
FSI-00158,EVT-001,PRD-04965,98,0,1339000.0,1
FSI-00159,EVT-015,PRD-03818,75,0,1840000.0,1
FSI-00160,EVT-018,PRD-01773,71,0,2230000.0,1
FSI-00161,EVT-001,PRD-03221,8,0,1468000.0,1
FSI-00162,EVT-006,PRD-04052,52,0,1361000.0,1
FSI-00163,EVT-002,PRD-00328,82,0,56000.0,1
FSI-00164,EVT-010,PRD-04267,8,0,483000.0,1
FSI-00165,EVT-004,PRD-00095,38,0,1126000.0,1
FSI-00166,EVT-001,PRD-02595,24,0,1444000.0,1
FSI-00167,EVT-020,PRD-02644,96,0,1207000.0,1
FSI-00168,EVT-010,PRD-04138,45,0,1382000.0,1
FSI-00169,EVT-002,PRD-01373,41,0,2111000.0,1
FSI-00170,EVT-001,PRD-03662,25,0,1427000.0,1
FSI-00171,EVT-002,PRD-00754,53,0,1383000.0,1
FSI-00172,EVT-014,PRD-03677,87,0,3349000.0,1
FSI-00173,EVT-014,PRD-00805,69,0,1825000.0,1
FSI-00174,EVT-014,PRD-03662,27,0,3234000.0,1
FSI-00175,EVT-013,PRD-00949,89,0,1986000.0,1
FSI-00176,EVT-012,PRD-02315,61,0,667000.0,1
FSI-00177,EVT-011,PRD-00724,46,0,668000.0,1
FSI-00178,EVT-002,PRD-00572,24,0,488000.0,1
